task_id,length,deadline,vm_id,start_time,finish_time,exec_time,cost
3,208,888,0,0.10000,0.42000,0.32000,0.00640
4,719,1227,1,0.10000,1.35500,1.25500,0.01797
2,839,1251,2,0.10000,1.68500,1.58500,0.01525
5,814,1622,2,0.10000,1.68500,1.58500,0.01480
8,115,310,2,1.79500,2.00409,0.20909,0.00209
1,1149,1499,1,0.10000,2.11409,2.01409,0.02873
6,1093,1957,0,0.53000,2.22409,1.69409,0.03363
7,403,844,1,1.46500,2.22409,0.75909,0.01007
0,1893,2095,0,0.10000,3.02615,2.92615,0.05825
9,778,1474,0,2.33409,3.53385,1.19976,0.02394
11,501,1382,1,3.63385,4.48923,0.85538,0.01253
12,524,1091,2,3.63385,4.59923,0.96538,0.00953
15,552,1482,2,3.63385,4.70923,1.07538,0.01004
13,824,1341,0,3.63385,4.92923,1.29538,0.02535
10,969,1746,0,3.63385,5.14923,1.51538,0.02982
17,441,1322,1,4.59923,5.36923,0.77000,0.01103
16,488,873,0,5.03923,5.84847,0.80923,0.01502
14,1308,1624,1,3.63385,5.84847,2.21462,0.03270
18,968,1844,2,4.70923,6.59028,1.88105,0.01760
19,993,1846,0,5.25923,6.81028,1.55105,0.03055
21,242,501,1,6.91028,7.32951,0.41923,0.00605
23,402,901,0,6.91028,7.54951,0.63923,0.01237
25,398,906,2,6.91028,7.65951,0.74923,0.00724
24,595,782,1,6.91028,7.91284,1.00256,0.01488
22,753,1193,2,6.91028,8.39921,1.48893,0.01369
20,1118,1317,0,6.91028,8.74998,1.83970,0.03440
27,812,1657,1,7.43951,8.85998,1.42047,0.02030
28,558,734,2,7.76951,8.85998,1.09047,0.01015
26,1235,1847,0,7.65951,9.56874,1.90923,0.03800
29,1772,2504,0,8.85998,11.58874,2.72876,0.05452
31,242,806,1,11.68874,12.09374,0.40500,0.00605
33,852,1404,0,11.68874,13.02707,1.33833,0.02622
34,734,1179,1,11.68874,13.02707,1.33833,0.01835
35,738,910,2,11.68874,13.13707,1.44833,0.01342
37,693,1008,1,12.20374,13.46707,1.26333,0.01733
