task_id,length,deadline,vm_id,thread,start_time,finish_time,exec_time,cost
3,208,888,0,1,0.10000,0.31455,0.21455,0.00832
8,115,310,2,1,0.10000,0.31455,0.21455,0.00209
7,403,844,1,0,0.10000,0.42455,0.32455,0.01439
0,1893,2095,2,0,0.10000,1.78750,1.68750,0.04732
1,1149,1499,2,0,1.89750,2.95750,1.06000,0.02873
2,839,1251,2,0,3.06750,3.80917,0.74167,0.02098
4,719,1227,2,0,3.91917,4.62833,0.70917,0.01797
5,814,1622,2,0,4.73833,5.41667,0.67833,0.02035
6,1093,1957,2,0,5.52667,6.54833,1.02167,0.02733
9,778,1474,2,0,6.65833,7.30667,0.64833,0.01945
16,488,873,0,0,7.40667,7.71167,0.30500,0.02135
10,969,1746,2,0,7.40667,8.32417,0.91750,0.02423
11,501,1382,2,0,8.43417,8.85250,0.41833,0.01253
12,524,1091,2,0,8.96250,9.39917,0.43667,0.01310
13,824,1341,2,0,9.50917,10.30667,0.79750,0.02060
14,1308,1624,2,0,10.41667,11.50667,1.09000,0.03270
15,552,1482,2,0,11.61667,12.18750,0.57083,0.01380
17,441,1322,2,0,12.29750,12.77500,0.47750,0.01103
18,968,1844,2,0,12.88500,13.80250,0.91750,0.02420
19,993,1846,2,0,13.91250,14.85084,0.93833,0.02483
21,242,501,0,1,14.95084,15.22217,0.27133,0.00968
28,558,734,0,0,14.95084,15.33217,0.38133,0.02441
23,402,901,1,0,14.95084,15.33217,0.38133,0.01436
24,595,782,2,0,14.95084,15.55217,0.60133,0.01488
25,398,906,0,1,15.33217,15.66217,0.33000,0.01592
20,1118,1317,2,0,15.66217,16.59467,0.93250,0.02795
22,753,1193,2,0,16.70467,17.33217,0.62750,0.01882
26,1235,1847,2,0,17.44217,18.55251,1.11033,0.03087
27,812,1657,2,0,18.66251,19.33917,0.67667,0.02030
29,1772,2504,2,0,19.44917,21.03667,1.58750,0.04430
31,242,806,0,1,21.13667,21.40800,0.27133,0.00968
35,738,910,1,0,21.13667,21.77381,0.63714,0.02636
30,1309,1612,2,0,21.13667,22.33750,1.20083,0.03273
32,1261,1744,2,0,22.44750,23.55834,1.11083,0.03153
33,852,1404,2,0,23.66834,24.48917,0.82083,0.02130
34,734,1179,2,0,24.59917,25.32167,0.72250,0.01835
36,1543,2156,2,0,25.43167,26.71750,1.28583,0.03858
37,693,1008,2,0,26.82750,27.51500,0.68750,0.01733
38,1513,1767,2,0,27.62500,28.88750,1.26250,0.03783
39,1686,1911,2,0,28.99750,30.51334,1.51583,0.04215
41,474,583,0,0,30.61334,30.90959,0.29625,0.02074
40,1075,1492,2,0,30.61334,31.61917,1.00583,0.02688
42,593,1407,2,0,31.72917,32.22417,0.49500,0.01482
43,420,1156,2,0,32.33417,32.79417,0.46000,0.01050
44,841,1012,2,0,32.90417,33.71501,0.81083,0.02103
45,649,1062,2,0,33.82501,34.47584,0.65083,0.01623
46,533,1285,2,0,34.58584,35.06751,0.48167,0.01332
47,792,1131,2,0,35.17751,35.83751,0.66000,0.01980
48,1335,2059,2,0,35.94751,37.17167,1.22417,0.03338
49,994,1365,2,0,37.28167,38.11001,0.82833,0.02485
56,425,572,1,0,38.21001,38.51358,0.30357,0.01518
55,656,782,0,0,38.21001,38.73001,0.52000,0.02870
50,948,1828,2,0,38.21001,39.11001,0.90000,0.02370
