task_id,length,deadline,vm_id,thread,start_time,finish_time,exec_time,cost
3,208,888,0,1,0.10000,0.31455,0.21455,0.00832
8,115,310,2,1,0.10000,0.31455,0.21455,0.00209
7,403,844,1,0,0.10000,0.42455,0.32455,0.01439
0,1893,2095,2,0,0.10000,1.78750,1.68750,0.04732
1,1149,1499,2,0,1.89750,2.95750,1.06000,0.02873
2,839,1251,2,0,3.06750,3.80917,0.74167,0.02098
4,719,1227,2,0,3.91917,4.62833,0.70917,0.01797
5,814,1622,2,0,4.73833,5.41667,0.67833,0.02035
6,1093,1957,2,0,5.52667,6.54833,1.02167,0.02733
9,778,1474,2,0,6.65833,7.30667,0.64833,0.01945
16,488,873,0,0,0.74833,1.05333,0.30500,0.02135
10,969,1746,2,0,0.74833,1.66583,0.91750,0.02423
11,501,1382,2,0,1.77583,2.19416,0.41833,0.01253
12,524,1091,2,0,2.30416,2.74083,0.43667,0.01310
13,824,1341,2,0,2.85083,3.64833,0.79750,0.02060
14,1308,1624,2,0,3.75833,4.84833,1.09000,0.03270
15,552,1482,2,0,4.95833,5.52916,0.57083,0.01380
17,441,1322,2,0,5.63916,6.11666,0.47750,0.01103
18,968,1844,2,0,6.22666,7.14416,0.91750,0.02420
19,993,1846,2,0,7.25416,8.19250,0.93833,0.02483
21,242,501,0,1,1.03833,1.30966,0.27133,0.00968
28,558,734,0,0,1.03833,1.41966,0.38133,0.02441
23,402,901,1,0,1.03833,1.41966,0.38133,0.01436
24,595,782,2,0,1.03833,1.63966,0.60133,0.01488
25,398,906,0,1,1.41966,1.74966,0.33000,0.01592
20,1118,1317,2,0,1.74966,2.68216,0.93250,0.02795
22,753,1193,2,0,2.79216,3.41966,0.62750,0.01882
26,1235,1847,2,0,3.52966,4.64000,1.11033,0.03087
27,812,1657,2,0,4.75000,5.42666,0.67667,0.02030
29,1772,2504,2,0,5.53666,7.12416,1.58750,0.04430
31,242,806,0,1,1.68750,1.95883,0.27133,0.00968
35,738,910,1,0,1.68750,2.32464,0.63714,0.02636
30,1309,1612,2,0,1.68750,2.88833,1.20083,0.03273
32,1261,1744,2,0,2.99833,4.10917,1.11083,0.03153
33,852,1404,2,0,4.21917,5.04000,0.82083,0.02130
34,734,1179,2,0,5.15000,5.87250,0.72250,0.01835
36,1543,2156,2,0,5.98250,7.26833,1.28583,0.03858
37,693,1008,2,0,7.37833,8.06583,0.68750,0.01733
38,1513,1767,2,0,8.17583,9.43833,1.26250,0.03783
39,1686,1911,2,0,9.54833,11.06417,1.51583,0.04215
41,474,583,0,0,1.61583,1.91208,0.29625,0.02074
40,1075,1492,2,0,1.61583,2.62166,1.00583,0.02688
42,593,1407,2,0,2.73166,3.22666,0.49500,0.01482
43,420,1156,2,0,3.33666,3.79666,0.46000,0.01050
44,841,1012,2,0,3.90666,4.71750,0.81083,0.02103
45,649,1062,2,0,4.82750,5.47833,0.65083,0.01623
46,533,1285,2,0,5.58833,6.07000,0.48167,0.01332
47,792,1131,2,0,6.18000,6.84000,0.66000,0.01980
48,1335,2059,2,0,6.95000,8.17416,1.22417,0.03338
49,994,1365,2,0,8.28416,9.11250,0.82833,0.02485
56,425,572,1,0,0.92833,1.23190,0.30357,0.01518
55,656,782,0,0,0.92833,1.44833,0.52000,0.02870
50,948,1828,2,0,0.92833,1.82833,0.90000,0.02370
